id,origem,destino,localizacao,escalas,tempo_desde_ultimo_scan,alertas_sistema,lugar_bagagem,estado,tipo_bagagem,status_voo,distancia_percorrida
1,Funchal,Lisboa,Lisboa,,62,Nao,Cabine,Entregue,Normal,Normal,5001
2,Lisboa,Dubai,Dubai,,39,Nao,Porão,Entregue,Normal,Normal,6467
3,Porto,Funchal,Funchal,,67,Nao,Porão,Entregue,Frágil,Cancelado,7597
4,Roma,Bangkok,Bangkok,,28,Nao,Cabine,Entregue,Frágil,Atrasado,7656
5,São Paulo,London,London,,33,Nao,Porão,Entregue,Frágil,Normal,5253
6,Nova Iorque,Bangkok,Barcelona,,196,Sim,Porão,Perdida,Frágil,Atrasado,6525
7,Barcelona,São Paulo,Lisboa,Bangkok;Lisboa,45,Sim,Cabine,Em trânsito,Normal,Atrasado,3510
8,Funchal,Rio de Janeiro,Porto,Los Angeles;Porto,25,Sim,Porão,Em trânsito,Normal,Atrasado,8374
9,Lisboa,Paris,Paris,Barcelona;Roma;Funchal,60,Nao,Porão,Entregue,Normal,Atrasado,5036
10,Funchal,Bangkok,São Paulo,London;Dubai;São Paulo,49,Nao,Porão,Entregue,Valiosa,Cancelado,745
11,Los Angeles,Porto,Porto,,13,Nao,Cabine,Entregue,Normal,Cancelado,3083
12,Rio de Janeiro,Lisboa,Roma,Sydney;Roma,36,Sim,Porão,Em trânsito,Valiosa,Atrasado,114
13,Madrid,London,London,Porto;Tóquio,19,Nao,Porão,Entregue,Normal,Cancelado,856
14,Porto,Paris,Nova Iorque,São Paulo;Bangkok;Nova Iorque,15,Sim,Porão,Em trânsito,Valiosa,Atrasado,6066
15,São Paulo,London,London,Porto,56,Nao,Porão,Entregue,Normal,Atrasado,681
16,Nova Iorque,São Paulo,São Paulo,,58,Nao,Cabine,Entregue,Normal,Atrasado,7572
17,Madrid,Rio de Janeiro,Rio de Janeiro,São Paulo;Porto;Sydney,21,Nao,Porão,Entregue,Frágil,Atrasado,909
18,Bangkok,Porto,Rio de Janeiro,Rio de Janeiro,27,Sim,Cabine,Em trânsito,Frágil,Atrasado,7376
19,Lisboa,Madrid,Funchal,Nova Iorque;São Paulo,169,Sim,Cabine,Perdida,Frágil,Atrasado,3796
20,Nova Iorque,London,London,,16,Nao,Porão,Entregue,Frágil,Cancelado,2511
21,London,Los Angeles,Bangkok,Sydney;São Paulo;Paris,116,Sim,Porão,Perdida,Normal,Atrasado,9189
22,Porto,Barcelona,London,Roma,142,Sim,Cabine,Perdida,Frágil,Normal,9804
23,London,Barcelona,Porto,Roma;Tóquio;Nova Iorque,150,Sim,Cabine,Perdida,Frágil,Atrasado,8000
24,Rio de Janeiro,São Paulo,Barcelona,Barcelona,44,Nao,Porão,Entregue,Valiosa,Cancelado,2330
25,Nova Iorque,Funchal,Lisboa,Roma;São Paulo,126,Sim,Cabine,Perdida,Frágil,Atrasado,2056
26,Lisboa,Bangkok,Barcelona,Barcelona;Funchal,35,Sim,Porão,Em trânsito,Normal,Normal,5664
27,Sydney,Nova Iorque,Paris,,194,Sim,Porão,Perdida,Normal,Atrasado,9442
28,Porto,Barcelona,Lisboa,Tóquio,163,Sim,Porão,Perdida,Normal,Normal,5447
