id,origem,destino,localizacao,escalas,tempo_desde_ultimo_scan,alertas_sistema,lugar_bagagem,estado,tipo_bagagem,status_voo,distancia_percorrida
1,Dubai,Barcelona,Barcelona,,62,Nao,Cabine,Entregue,Normal,Cancelado,4345
2,Los Angeles,Rio de Janeiro,Rio de Janeiro,Roma;Paris,62,Nao,Cabine,Entregue,Normal,Normal,7167
3,Rio de Janeiro,Bangkok,Barcelona,São Paulo;Barcelona,29,Sim,Porão,Em trânsito,Valiosa,Normal,1757
4,Nova Iorque,Roma,Roma,Rio de Janeiro;Porto;São Paulo,48,Nao,Porão,Entregue,Valiosa,Normal,8263
5,Paris,Bangkok,Bangkok,,72,Nao,Cabine,Entregue,Frágil,Atrasado,5806
6,Bangkok,Barcelona,Los Angeles,,164,Sim,Porão,Perdida,Frágil,Normal,4790
7,Tóquio,Paris,Paris,Rio de Janeiro;Barcelona,69,Nao,Cabine,Entregue,Frágil,Normal,3830
8,São Paulo,Barcelona,Rio de Janeiro,Rio de Janeiro;Los Angeles;Tóquio,25,Sim,Porão,Em trânsito,Valiosa,Atrasado,2602
9,Porto,Madrid,Lisboa,Lisboa;Paris,18,Sim,Cabine,Em trânsito,Frágil,Normal,5689
10,Barcelona,Madrid,Sydney,Los Angeles,158,Sim,Porão,Perdida,Frágil,Normal,2084
11,Rio de Janeiro,Barcelona,Tóquio,Funchal;Sydney;Tóquio,25,Sim,Porão,Em trânsito,Normal,Normal,2227
12,Paris,Madrid,Madrid,,37,Nao,Porão,Entregue,Normal,Atrasado,1519
13,Paris,Bangkok,Porto,Roma;Nova Iorque;Rio de Janeiro,172,Sim,Cabine,Perdida,Frágil,Normal,1653
14,Tóquio,London,Funchal,Bangkok,144,Sim,Cabine,Perdida,Normal,Atrasado,3482
15,Dubai,Roma,Barcelona,,143,Sim,Cabine,Perdida,Normal,Atrasado,5383
16,Paris,Tóquio,Tóquio,,17,Nao,Cabine,Entregue,Normal,Atrasado,5540
17,Barcelona,Los Angeles,Madrid,Madrid;Lisboa,10,Sim,Porão,Em trânsito,Frágil,Atrasado,593
18,Funchal,Barcelona,Sydney,Rio de Janeiro,197,Sim,Porão,Perdida,Normal,Normal,5457
19,Paris,Barcelona,Barcelona,London;Los Angeles;Tóquio,51,Nao,Cabine,Entregue,Valiosa,Normal,7106
20,Bangkok,São Paulo,São Paulo,,13,Nao,Porão,Entregue,Normal,Cancelado,2845
21,Rio de Janeiro,Paris,Porto,Porto;London,25,Sim,Porão,Em trânsito,Frágil,Normal,1460
22,Porto,Dubai,Roma,Madrid;Los Angeles,166,Sim,Cabine,Perdida,Valiosa,Normal,9367
23,Rio de Janeiro,Tóquio,Paris,London;Roma,151,Sim,Porão,Perdida,Normal,Atrasado,1177
24,Tóquio,Paris,Paris,Bangkok;Lisboa,28,Nao,Porão,Entregue,Normal,Normal,2339
25,Sydney,Nova Iorque,Bangkok,Paris;Los Angeles,189,Sim,Cabine,Perdida,Normal,Normal,4340
26,Nova Iorque,Sydney,Sydney,Los Angeles;Paris;São Paulo,16,Nao,Cabine,Entregue,Normal,Normal,9383
27,Sydney,Tóquio,Tóquio,Funchal;Madrid,67,Nao,Porão,Entregue,Frágil,Normal,3813
28,Roma,Tóquio,Paris,,118,Sim,Cabine,Perdida,Normal,Atrasado,3759
29,Rio de Janeiro,Paris,Bangkok,Dubai;Roma,149,Sim,Porão,Perdida,Frágil,Normal,9243
30,Porto,Funchal,Sydney,Roma;Sydney,35,Sim,Porão,Em trânsito,Frágil,Normal,5646
31,Funchal,Porto,Porto,,29,Nao,Cabine,Entregue,Normal,Normal,8382
32,Paris,Tóquio,Tóquio,,39,Nao,Cabine,Entregue,Valiosa,Normal,9497
33,Rio de Janeiro,Porto,São Paulo,São Paulo;Nova Iorque,15,Sim,Cabine,Em trânsito,Frágil,Atrasado,1610
34,Bangkok,Paris,Madrid,,173,Sim,Porão,Perdida,Frágil,Normal,6919
35,London,Tóquio,Tóquio,São Paulo;Nova Iorque,71,Nao,Cabine,Entregue,Frágil,Normal,9731
36,Lisboa,Tóquio,Funchal,Rio de Janeiro;Funchal;Dubai,41,Nao,Porão,Entregue,Normal,Cancelado,8103
37,Lisboa,Madrid,London,,124,Sim,Porão,Perdida,Frágil,Atrasado,7059
38,Lisboa,Paris,Sydney,Nova Iorque;Sydney,25,Nao,Porão,Entregue,Normal,Cancelado,4498
39,Roma,Bangkok,Funchal,Lisboa;Dubai;São Paulo,140,Sim,Cabine,Perdida,Frágil,Normal,6266
40,Lisboa,Los Angeles,Los Angeles,Porto,33,Nao,Porão,Entregue,Frágil,Atrasado,9573
41,Rio de Janeiro,London,Bangkok,Barcelona;Paris;Lisboa,152,Sim,Porão,Perdida,Frágil,Atrasado,2073
42,Dubai,Funchal,Funchal,,59,Nao,Porão,Entregue,Valiosa,Normal,6692
43,Roma,Funchal,Nova Iorque,,118,Sim,Cabine,Perdida,Normal,Atrasado,1620
44,Rio de Janeiro,São Paulo,Nova Iorque,Nova Iorque;Lisboa;Los Angeles,16,Sim,Porão,Em trânsito,Valiosa,Normal,7728
